"ID","SiteSeries","SiteSeriesLongName","SiteSeriesScientificName","Level"
-2016978022,"ESSFmc   /01b","Bl – Huckleberry – Leafy liverwort; Fine-textured","Abies lasiocarpa – Vaccinium membranaceum – Barbilophozia lycopodioides",11
-2014574870,"ESSFdk 1 /111b","Se – Horsetail – Bluejoint; Swamp phase","Picea engelmannii – Equisetum arvense – Calamagrostis canadensis",11
-2014233006,"SBPSmk   /02","Pl – Cladonia – Haircap moss","Pinus contorta – Cladonia spp. – Polytrichum sp.",11
-2012015232,"ESSFwcw  /Rt01","Rocktripe – Green map","Umbilicaria sp. – Rhizocarpon geographicum",11
-2011635805,"IDF xm   /08","Sxw – Snowberry – Prickly rose","Picea engelmannii x glauca – Symphoricarpos albus – Rosa acicularis",11
-2009942050,"ICH mw 5 /Wm06","Great bulrush","Schoenoplectus acutus",11
-2009833587,"BWBSdk   /112","AcbSw – Mountain alder – Dogwood","Populus balsamifera – Picea glauca – Alnus incana – Cornus sericea",11
-2007088811,"CWH wm   /Wf52","Sweet gale – Sitka sedge","Myrica gale – Carex sitchensis",11
-2006691627,"ESSFdc 3 /Wf04","Barclay's willow – Water sedge – Glow moss","Salix barclayi – Carex aquatilis – Aulacomnium palustre",11
-2002333586,"ESSFwh 1 /Vs02","Sitka alder – Solomon's-seal","Alnus viridis ssp. sinuata – Maianthemum racemosum",11
-2001404493,"SBS dw 2 /03","Pl – Kinnikinnick – Wavy-leaved moss","Pinus contorta – Arctostaphylos uva-ursi – Dicranum polysetum",11
-1997916125,"ESSFwm 4 /Ro11","Grouseberry – Clad lichen","Vaccinium scoparium – Cladonia spp.",11
-1992340820,"ESSFwm 3 /Ws13","Barclay’s willow – Common horsetail – Arrow-leaved groundsel","Salix barclayi – Equisetum arvense – Senecio triangularis",11
-1990197110,"ICH dk   /04","CwSxw – Falsebox – Feathermoss","Thuja plicata – Picea engelmannii x glauca – Paxistima myrsinites",11
-1990083304,"ICH wc   /04","HwBl – Devil's club","Tsuga heterophylla – Abies lasiocarpa – Oplopanax horridus",11
-1988420679,"CWH wm   /09","Ss – Skunk cabbage","Picea sitchensis – Lysichiton americanus",11
-1988375193,"IDF xh 4 /01","FdPy – Pinegrass","Pseudotsuga menziesii – Pinus ponderosa – Calamagrostis rubescens",11
-1988262076,"ICH vc   /Ws02","Mountain alder – Pink spirea – Sitka sedge","Alnus incana – Spiraea douglasii ssp. menziesii – Carex sitchensis",11
-1987803796,"CWH wh 1 /Bb01","American Searocket","Cakile edentula",11
-1987638881,"IDF xx 2 /Ro01.2","Selaginella – Sidewalk moss","Selaginella densa – Tortula ruralis",11
-1982598603,"SBS mm   /Wf02","Scrub birch – Water sedge","Betula nana – Carex aquatilis",11
-1982298664,"MS  dc 1 /Wm01","Beaked sedge – Water sedge","Carex utriculata – Carex aquatilis",11
-1981442878,"ESSFwmw  /Wa02","Alpine sedge – Bog-laurel – Peat moss","Carex nigricans –  Kalmia microphylla – Sphagnum spp.",11
-1980883500,"SBS mk 2 /Fl04","Sitka willow – Red-osier dogwood – Horsetail","Salix sitchensis – Cornus sericea – Equisetum arvense",11
-1980830305,"ICH dh   /Vh11","Fireweed – Yarrow – Strawberry","Chamerion angustifolium – Achillea millefolium – Fragaria virginiana",11
-1980104948,"BWBSwk 3 /101","SwBl – Huckleberry – Feathermoss","Picea glauca – Abies lasiocarpa – Vaccinium membranaceum – Pleurozium schreberi",11
