"User","InTime","OutTime","LocalMachine"
"puket",9/20/2018 7:01:39,9/20/2018 7:28:03,"I7C"
"puket",9/24/2018 7:04:25,9/24/2018 7:10:22,"I7C"
"puket",9/27/2018 10:38:09,9/27/2018 10:54:39,"I7C"
"puket",10/16/2018 7:28:56,10/16/2018 7:30:35,"I7C"
"puket",10/23/2018 9:41:32,10/23/2018 9:45:11,"I7C"
"puket",10/30/2018 10:42:52,10/30/2018 13:24:43,"I7C"
"puket",10/30/2018 13:27:18,10/30/2018 13:32:53,"I7C"
"puket",10/30/2018 13:38:52,10/30/2018 20:56:13,"I7C"
"puket",11/13/2018 6:53:35,11/13/2018 6:55:55,"I7C"
"puket",11/13/2018 6:56:02,11/13/2018 7:01:35,"I7C"
"puket",11/13/2018 7:02:04,11/13/2018 8:28:23,"I7C"
"puket",11/13/2018 8:28:29,11/13/2018 8:29:35,"I7C"
"puket",11/13/2018 8:29:39,11/13/2018 8:55:27,"I7C"
"puket",11/13/2018 8:55:44,11/13/2018 8:57:29,"I7C"
"puket",11/13/2018 8:57:33,11/13/2018 8:58:24,"I7C"
"puket",11/13/2018 8:58:25,11/13/2018 8:58:32,"I7C"
"puket",11/13/2018 9:02:13,11/13/2018 11:29:46,"I7C"
"puket",11/13/2018 11:29:51,11/13/2018 11:29:53,"I7C"
"puket",11/13/2018 11:29:58,11/13/2018 15:10:52,"I7C"
"puket",11/15/2018 6:59:05,11/15/2018 6:59:09,"I7C"
"puket",11/15/2018 6:59:13,11/15/2018 6:59:25,"I7C"
"puket",11/15/2018 8:38:15,11/15/2018 8:43:39,"I7C"
"puket",11/15/2018 8:51:32,11/15/2018 8:51:44,"I7C"
"puket",11/15/2018 13:56:33,11/15/2018 13:56:51,"I7C"
"puket",11/15/2018 13:56:56,11/15/2018 14:10:44,"I7C"
"puket",11/15/2018 14:10:49,11/15/2018 14:12:38,"I7C"
"puket",11/15/2018 14:12:45,11/15/2018 14:12:57,"I7C"
"puket",11/15/2018 14:12:58,11/15/2018 14:13:28,"I7C"
"puket",11/15/2018 14:13:35,11/15/2018 14:13:50,"I7C"
"puket",11/15/2018 14:13:51,11/15/2018 14:15:46,"I7C"
"puket",11/15/2018 14:16:02,11/15/2018 14:16:55,"I7C"
"puket",11/15/2018 14:16:57,11/15/2018 14:32:22,"I7C"
"puket",11/15/2018 14:32:27,11/15/2018 14:48:40,"I7C"
"puket",11/15/2018 14:48:42,11/15/2018 14:49:37,"I7C"
"puket",11/15/2018 14:49:46,11/15/2018 14:53:12,"I7C"
"puket",11/15/2018 14:53:22,11/15/2018 14:53:47,"I7C"
"puket",11/15/2018 14:53:51,11/15/2018 14:54:01,"I7C"
