"SpeciesNumber","Code","ScientificName","CodePlusStrata","CodePlusLayer","Temp"
325,,"Streptopus lanceolatus C","STRELANC",,
326,,"Struthiopteris spicant C","STRUSPIC",,
327,,"Symphyotrichum ciliolatum C","SYMPCIIC",,
328,,"Syntrichia ruralis D","SYNTRURD",,
329,,"Tanacetum vulgare C","TANAVULC",,
330,,"Tephroseris newcombei  C","TEPHNEWC",,
331,,"Thalictrum occidentale C","THALOCCC",,
332,,"Thalictrum sparsiflorum C","THALSPAC",,
333,,"Thamnolia vermicularis D","ThamverD",,
334,,"Thuidium recognitum D","THUIRECD",,
335,,"Thuja plicata A","THUJPLIA",,
336,,"Thuja plicata D","THUJPLID",,
337,,"Tiarella trifoliata C","TIARTRIC",,
338,,"Timmia austriaca D","TIMMAUSD",,
339,,"Tomentypnum nitens D","TOMENITD",,
340,,"Trientalis europaea ssp. arctica C","TRIEEURC",,
341,,"Tsuga heterophylla A","TSUGHETA",,
342,,"Tsuga heterophylla B","TSUGHETB",,
343,,"Tsuga mertensiana A","TSUGMERA",,
344,,"Tsuga mertensiana B","TSUGMERB",,
345,,"Tsuga mertensiana D","TSUGMERD",,
346,,"Vaccinium alaskaense A","VACCALAA",,
347,,"Vaccinium alaskaense B","VACCALAB",,
348,,"Vaccinium caespitosum C","VACCCAEC",,
349,,"Vaccinium deliciosum B","VACCDELB",,
350,,"Vaccinium membranaceum B","VACCMEMB",,
351,,"Vaccinium ovalifolium B","VACCOVLB",,
352,,"Vaccinium oxycoccos C","VACCOXYC",,
353,,"Vaccinium parvifolium B","VACCPARB",,
354,,"Vaccinium uliginosum B","VACCULIB",,
355,,"Vaccinium vitis-idaea C","VACCVITC",,
356,,"Veratrum viride C","VERAVIRC",,
357,,"Viburnum edule B","VIBUEDUB",,
358,,"Vicia americana C","VICIAMEC",,
359,,"Viola spp. C","VIOLAC",,
360,,"Viola canadensis C","VIOLCANC",,
361,,"Viola glabella C","VIOLGLAC",,
362,,"Viola renifolia C","VIOLRENC",,
