"id","line_end","line_start","name","path","target_type"
"r_function::inst/app/modules/mod_herbarium.R::herbarium_species_lookup",367,244,"herbarium_species_lookup","inst/app/modules/mod_herbarium.R","r_function"
"r_function::inst/app/modules/mod_herbarium.R::herbarium_table_exists",30,9,"herbarium_table_exists","inst/app/modules/mod_herbarium.R","r_function"
"r_function::inst/app/modules/mod_herbarium.R::herbarium_table_id",7,5,"herbarium_table_id","inst/app/modules/mod_herbarium.R","r_function"
"r_function::inst/app/modules/mod_herbarium.R::herbarium_table_to_base",46,40,"herbarium_table_to_base","inst/app/modules/mod_herbarium.R","r_function"
"r_function::inst/app/modules/mod_herbarium.R::herbarium_target_table",3,1,"herbarium_target_table","inst/app/modules/mod_herbarium.R","r_function"
"r_function::inst/app/modules/mod_herbarium.R::herbarium_unattach_table",191,178,"herbarium_unattach_table","inst/app/modules/mod_herbarium.R","r_function"
"r_function::inst/app/modules/mod_herbarium.R::mod_herbarium_server",982,457,"mod_herbarium_server","inst/app/modules/mod_herbarium.R","r_function"
"r_function::inst/app/modules/mod_herbarium.R::mod_herbarium_ui",455,369,"mod_herbarium_ui","inst/app/modules/mod_herbarium.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::build_hierarchy_tree",57,27,"build_hierarchy_tree","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::build_su_from_env",531,489,"build_su_from_env","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::build_su_from_env_filter",580,533,"build_su_from_env_filter","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::clip_hierarchy_ids",240,221,"clip_hierarchy_ids","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::compute_subtree_levels",690,666,"compute_subtree_levels","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::copy_bec_to_su",348,332,"copy_bec_to_su","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::create_lowest_breakpoints_table",298,259,"create_lowest_breakpoints_table","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::filter_duplicate_names",610,597,"filter_duplicate_names","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::filter_duplicate_subtrees",627,612,"filter_duplicate_subtrees","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::find_orphan_nodes",165,155,"find_orphan_nodes","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::fix_orphan_nodes",181,167,"fix_orphan_nodes","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::get_descendants",111,101,"get_descendants","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::get_env_distinct_values",381,363,"get_env_distinct_values","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::get_env_filter_columns",390,383,"get_env_filter_columns","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::get_env_su_column",361,350,"get_env_su_column","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::get_lists_master_table",407,392,"get_lists_master_table","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::get_lowest_tilde_ids",219,196,"get_lowest_tilde_ids","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::get_master_site_units",437,409,"get_master_site_units","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::get_node_path",132,113,"get_node_path","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::get_node_path_ids",153,134,"get_node_path_ids","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::get_plots_for_site_unit",595,582,"get_plots_for_site_unit","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::get_sibling_order",99,81,"get_sibling_order","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::get_subtree",186,183,"get_subtree","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::get_subtree_names",194,188,"get_subtree_names","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::get_user_site_unit_table",461,439,"get_user_site_unit_table","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::get_user_site_units",487,463,"get_user_site_units","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::hierarchy_has_column",64,59,"hierarchy_has_column","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::hierarchy_label",3,1,"hierarchy_label","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::hierarchy_table_has_column",71,66,"hierarchy_table_has_column","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::insert_rekeyed_hierarchy",867,778,"insert_rekeyed_hierarchy","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::insert_subtree",776,692,"insert_subtree","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::mod_hierarchy_server",2617,990,"mod_hierarchy_server","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::mod_hierarchy_ui",988,869,"mod_hierarchy_ui","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::order_hierarchy_rows",25,16,"order_hierarchy_rows","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::parse_hierarchy_id",14,5,"parse_hierarchy_id","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::resolve_duplicate_names",664,629,"resolve_duplicate_names","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::set_lowest_tilde_levels",257,242,"set_lowest_tilde_levels","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::sync_env_to_su",314,300,"sync_env_to_su","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::sync_su_to_env",330,316,"sync_su_to_env","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_hierarchy.R::table_has_columns",79,73,"table_has_columns","inst/app/modules/mod_hierarchy.R","r_function"
"r_function::inst/app/modules/mod_home.R::mod_home_server",877,507,"mod_home_server","inst/app/modules/mod_home.R","r_function"
"r_function::inst/app/modules/mod_home.R::mod_home_ui",505,1,"mod_home_ui","inst/app/modules/mod_home.R","r_function"
"r_function::inst/app/modules/mod_images.R::mod_images_server",145,33,"mod_images_server","inst/app/modules/mod_images.R","r_function"
"r_function::inst/app/modules/mod_images.R::mod_images_ui",31,4,"mod_images_ui","inst/app/modules/mod_images.R","r_function"
"r_function::inst/app/modules/mod_import.R::access_suffix_map",75,62,"access_suffix_map","inst/app/modules/mod_import.R","r_function"
"r_function::inst/app/modules/mod_import.R::align_import_columns",188,158,"align_import_columns","inst/app/modules/mod_import.R","r_function"
"r_function::inst/app/modules/mod_import.R::apply_project_override",215,190,"apply_project_override","inst/app/modules/mod_import.R","r_function"
"r_function::inst/app/modules/mod_import.R::delete_project_rows",242,217,"delete_project_rows","inst/app/modules/mod_import.R","r_function"
"r_function::inst/app/modules/mod_import.R::import_append_table",93,91,"import_append_table","inst/app/modules/mod_import.R","r_function"
"r_function::inst/app/modules/mod_import.R::import_get_table_fields",89,87,"import_get_table_fields","inst/app/modules/mod_import.R","r_function"
"r_function::inst/app/modules/mod_import.R::import_suffix_map",60,46,"import_suffix_map","inst/app/modules/mod_import.R","r_function"
"r_function::inst/app/modules/mod_import.R::import_table_id",85,77,"import_table_id","inst/app/modules/mod_import.R","r_function"
"r_function::inst/app/modules/mod_import.R::list_import_tables",118,95,"list_import_tables","inst/app/modules/mod_import.R","r_function"
"r_function::inst/app/modules/mod_import.R::mod_import_server",1198,244,"mod_import_server","inst/app/modules/mod_import.R","r_function"
"r_function::inst/app/modules/mod_import.R::mod_import_ui",44,1,"mod_import_ui","inst/app/modules/mod_import.R","r_function"
"r_function::inst/app/modules/mod_import.R::resolve_import_target",156,120,"resolve_import_target","inst/app/modules/mod_import.R","r_function"
"r_function::inst/app/modules/mod_merge.R::mod_merge_server",512,43,"mod_merge_server","inst/app/modules/mod_merge.R","r_function"
"r_function::inst/app/modules/mod_merge.R::mod_merge_ui",41,1,"mod_merge_ui","inst/app/modules/mod_merge.R","r_function"
"r_function::inst/app/modules/mod_nav_launcher.R::mod_nav_launcher_server",83,36,"mod_nav_launcher_server","inst/app/modules/mod_nav_launcher.R","r_function"
"r_function::inst/app/modules/mod_nav_launcher.R::mod_nav_launcher_ui",34,1,"mod_nav_launcher_ui","inst/app/modules/mod_nav_launcher.R","r_function"
"r_function::inst/app/modules/mod_plot_profiling.R::mod_plot_profiling_server",264,45,"mod_plot_profiling_server","inst/app/modules/mod_plot_profiling.R","r_function"
"r_function::inst/app/modules/mod_plot_profiling.R::mod_plot_profiling_ui",43,8,"mod_plot_profiling_ui","inst/app/modules/mod_plot_profiling.R","r_function"
"r_function::inst/app/modules/mod_plot_profiling.R::profile_env_step",374,313,"profile_env_step","inst/app/modules/mod_plot_profiling.R","r_function"
"r_function::inst/app/modules/mod_plot_profiling.R::profile_veg_step",310,267,"profile_veg_step","inst/app/modules/mod_plot_profiling.R","r_function"
"r_function::inst/app/modules/mod_project_metadata.R::mod_project_metadata_server",777,300,"mod_project_metadata_server","inst/app/modules/mod_project_metadata.R","r_function"
"r_function::inst/app/modules/mod_project_metadata.R::mod_project_metadata_ui",298,94,"mod_project_metadata_ui","inst/app/modules/mod_project_metadata.R","r_function"
"r_function::inst/app/modules/mod_project_metadata.R::project_metadata_default_all_specs",92,84,"project_metadata_default_all_specs","inst/app/modules/mod_project_metadata.R","r_function"
"r_function::inst/app/modules/mod_project_metadata.R::project_metadata_default_table_of_lists",82,74,"project_metadata_default_table_of_lists","inst/app/modules/mod_project_metadata.R","r_function"
"r_function::inst/app/modules/mod_project_metadata.R::project_metadata_detect_table",36,1,"project_metadata_detect_table","inst/app/modules/mod_project_metadata.R","r_function"
"r_function::inst/app/modules/mod_project_metadata.R::project_metadata_list_choices",72,38,"project_metadata_list_choices","inst/app/modules/mod_project_metadata.R","r_function"
"r_function::inst/app/modules/mod_project.R::.default_db_path",7,5,".default_db_path","inst/app/modules/mod_project.R","r_function"
"r_function::inst/app/modules/mod_project.R::mod_project_server",369,23,"mod_project_server","inst/app/modules/mod_project.R","r_function"
"r_function::inst/app/modules/mod_project.R::mod_project_ui",21,9,"mod_project_ui","inst/app/modules/mod_project.R","r_function"
"r_function::inst/app/modules/mod_reporting.R::mod_reporting_server",1096,53,"mod_reporting_server","inst/app/modules/mod_reporting.R","r_function"
"r_function::inst/app/modules/mod_reporting.R::mod_reporting_ui",51,1,"mod_reporting_ui","inst/app/modules/mod_reporting.R","r_function"
"r_function::inst/app/modules/mod_sidebar.R::mod_sidebar_server",159,26,"mod_sidebar_server","inst/app/modules/mod_sidebar.R","r_function"
"r_function::inst/app/modules/mod_sidebar.R::mod_sidebar_ui",24,1,"mod_sidebar_ui","inst/app/modules/mod_sidebar.R","r_function"
"r_function::inst/app/modules/mod_site_env.R::coerce_soil_value",140,131,"coerce_soil_value","inst/app/modules/mod_site_env.R","r_function"
"r_function::inst/app/modules/mod_site_env.R::format_dms_value",119,108,"format_dms_value","inst/app/modules/mod_site_env.R","r_function"
"r_function::inst/app/modules/mod_site_env.R::get_hot_selected_row",163,149,"get_hot_selected_row","inst/app/modules/mod_site_env.R","r_function"
"r_function::inst/app/modules/mod_site_env.R::mod_site_env_server",1196,285,"mod_site_env_server","inst/app/modules/mod_site_env.R","r_function"
"r_function::inst/app/modules/mod_site_env.R::mod_site_env_ui",283,165,"mod_site_env_ui","inst/app/modules/mod_site_env.R","r_function"
"r_function::inst/app/modules/mod_site_env.R::parse_dms_value",124,121,"parse_dms_value","inst/app/modules/mod_site_env.R","r_function"
"r_function::inst/app/modules/mod_site_env.R::save_site_env_header",105,1,"save_site_env_header","inst/app/modules/mod_site_env.R","r_function"
"r_function::inst/app/modules/mod_site_env.R::save_soil_cell",147,142,"save_soil_cell","inst/app/modules/mod_site_env.R","r_function"
"r_function::inst/app/modules/mod_su_table.R::mod_su_table_server",145,23,"mod_su_table_server","inst/app/modules/mod_su_table.R","r_function"
"r_function::inst/app/modules/mod_su_table.R::mod_su_table_ui",21,1,"mod_su_table_ui","inst/app/modules/mod_su_table.R","r_function"
"r_function::inst/app/modules/mod_sync.R::mod_sync_server",1750,263,"mod_sync_server","inst/app/modules/mod_sync.R","r_function"
"r_function::inst/app/modules/mod_sync.R::mod_sync_ui",258,9,"mod_sync_ui","inst/app/modules/mod_sync.R","r_function"
"r_function::inst/app/modules/mod_upload.R::mod_upload_server",338,35,"mod_upload_server","inst/app/modules/mod_upload.R","r_function"
"r_function::inst/app/modules/mod_upload.R::mod_upload_ui",33,1,"mod_upload_ui","inst/app/modules/mod_upload.R","r_function"
"r_function::inst/app/modules/mod_user_log.R::mod_user_log_server",84,36,"mod_user_log_server","inst/app/modules/mod_user_log.R","r_function"
"r_function::inst/app/modules/mod_user_log.R::mod_user_log_ui",34,7,"mod_user_log_ui","inst/app/modules/mod_user_log.R","r_function"
"r_function::inst/app/modules/mod_user_setup.R::mod_user_setup_server",140,75,"mod_user_setup_server","inst/app/modules/mod_user_setup.R","r_function"
"r_function::inst/app/modules/mod_user_setup.R::mod_user_setup_ui",73,9,"mod_user_setup_ui","inst/app/modules/mod_user_setup.R","r_function"
"r_function::inst/app/modules/mod_veg_sample.R::coerce_veg_value",22,14,"coerce_veg_value","inst/app/modules/mod_veg_sample.R","r_function"
"r_function::inst/app/modules/mod_veg_sample.R::detect_hot_changes",61,30,"detect_hot_changes","inst/app/modules/mod_veg_sample.R","r_function"
"r_function::inst/app/modules/mod_veg_sample.R::get_hot_selected_row",86,72,"get_hot_selected_row","inst/app/modules/mod_veg_sample.R","r_function"
